Trace [timestamp=1438174357, ssid=Universite de Lorraine, signal=42, données GPS=48.669037,6.1549]
Trace [timestamp=1438174357, ssid=Universite de Lorraine, signal=44, données GPS=48.669037,6.1549]
Trace [timestamp=1438174357, ssid=Universite de Lorraine, signal=43, données GPS=48.669037,6.1549]
Trace [timestamp=1438174357, ssid=Universite de Lorraine, signal=46, données GPS=48.669037,6.1549]
Trace [timestamp=1438174357, ssid=Universite de Lorraine, signal=26, données GPS=48.669037,6.1549]
Trace [timestamp=1438174357, ssid=Universite de Lorraine, signal=55, données GPS=48.669037,6.1549]
Trace [timestamp=1438174357, ssid=Universite de Lorraine, signal=7, données GPS=48.669037,6.1549]
Trace [timestamp=1438174357, ssid=Universite de Lorraine, signal=26, données GPS=48.669037,6.1549]
Trace [timestamp=1438174357, ssid=Universite de Lorraine, signal=42, données GPS=48.669037,6.1549]
Trace [timestamp=1438174358, ssid=Universite de Lorraine, signal=42, données GPS=48.669038,6.154907]
Trace [timestamp=1438174358, ssid=Universite de Lorraine, signal=44, données GPS=48.669038,6.154907]
Trace [timestamp=1438174358, ssid=Universite de Lorraine, signal=44, données GPS=48.669038,6.154907]
Trace [timestamp=1438174358, ssid=Universite de Lorraine, signal=45, données GPS=48.669038,6.154907]
Trace [timestamp=1438174358, ssid=Universite de Lorraine, signal=26, données GPS=48.669038,6.154907]
Trace [timestamp=1438174358, ssid=Universite de Lorraine, signal=48, données GPS=48.669038,6.154907]
Trace [timestamp=1438174358, ssid=Universite de Lorraine, signal=7, données GPS=48.669038,6.154907]
Trace [timestamp=1438174358, ssid=Universite de Lorraine, signal=26, données GPS=48.669038,6.154907]
Trace [timestamp=1438174358, ssid=Universite de Lorraine, signal=28, données GPS=48.669038,6.154907]
Trace [timestamp=1438174358, ssid=Universite de Lorraine, signal=26, données GPS=48.669038,6.154907]
Trace [timestamp=1438174358, ssid=Universite de Lorraine, signal=7, données GPS=48.669038,6.154907]
Trace [timestamp=1438174360, ssid=Universite de Lorraine, signal=28, données GPS=48.669038,6.15491]
Trace [timestamp=1438174360, ssid=Universite de Lorraine, signal=44, données GPS=48.669038,6.15491]
Trace [timestamp=1438174360, ssid=Universite de Lorraine, signal=43, données GPS=48.669038,6.15491]
Trace [timestamp=1438174360, ssid=Universite de Lorraine, signal=44, données GPS=48.669038,6.15491]
Trace [timestamp=1438174360, ssid=Universite de Lorraine, signal=26, données GPS=48.669038,6.15491]
Trace [timestamp=1438174360, ssid=Universite de Lorraine, signal=48, données GPS=48.669038,6.15491]
Trace [timestamp=1438174360, ssid=Universite de Lorraine, signal=28, données GPS=48.669038,6.15491]
Trace [timestamp=1438174360, ssid=Universite de Lorraine, signal=26, données GPS=48.669038,6.15491]
Trace [timestamp=1438174360, ssid=Universite de Lorraine, signal=22, données GPS=48.669038,6.15491]
Trace [timestamp=1438174360, ssid=Universite de Lorraine, signal=7, données GPS=48.669038,6.15491]
Trace [timestamp=1438174362, ssid=Universite de Lorraine, signal=23, données GPS=48.669038,6.154912]
Trace [timestamp=1438174362, ssid=Universite de Lorraine, signal=44, données GPS=48.669038,6.154912]
Trace [timestamp=1438174362, ssid=Universite de Lorraine, signal=44, données GPS=48.669038,6.154912]
Trace [timestamp=1438174362, ssid=Universite de Lorraine, signal=44, données GPS=48.669038,6.154912]
Trace [timestamp=1438174362, ssid=Universite de Lorraine, signal=28, données GPS=48.669038,6.154912]
Trace [timestamp=1438174362, ssid=Universite de Lorraine, signal=55, données GPS=48.669038,6.154912]
Trace [timestamp=1438174362, ssid=Universite de Lorraine, signal=28, données GPS=48.669038,6.154912]
Trace [timestamp=1438174362, ssid=Universite de Lorraine, signal=26, données GPS=48.669038,6.154912]
Trace [timestamp=1438174362, ssid=Universite de Lorraine, signal=10, données GPS=48.669038,6.154912]
Trace [timestamp=1438174362, ssid=Universite de Lorraine, signal=7, données GPS=48.669038,6.154912]
Trace [timestamp=1438174363, ssid=Universite de Lorraine, signal=25, données GPS=48.669037,6.154915]
Trace [timestamp=1438174363, ssid=Universite de Lorraine, signal=44, données GPS=48.669037,6.154915]
Trace [timestamp=1438174363, ssid=Universite de Lorraine, signal=44, données GPS=48.669037,6.154915]
Trace [timestamp=1438174363, ssid=Universite de Lorraine, signal=44, données GPS=48.669037,6.154915]
Trace [timestamp=1438174363, ssid=Universite de Lorraine, signal=26, données GPS=48.669037,6.154915]
Trace [timestamp=1438174363, ssid=Universite de Lorraine, signal=55, données GPS=48.669037,6.154915]
Trace [timestamp=1438174363, ssid=Universite de Lorraine, signal=28, données GPS=48.669037,6.154915]
Trace [timestamp=1438174363, ssid=Universite de Lorraine, signal=26, données GPS=48.669037,6.154915]
Trace [timestamp=1438174363, ssid=Universite de Lorraine, signal=10, données GPS=48.669037,6.154915]
Trace [timestamp=1438174363, ssid=Universite de Lorraine, signal=7, données GPS=48.669037,6.154915]
Trace [timestamp=1438174363, ssid=Universite de Lorraine, signal=42, données GPS=48.669037,6.154915]
Trace [timestamp=1438174365, ssid=Universite de Lorraine, signal=25, données GPS=48.669035,6.154918]
Trace [timestamp=1438174365, ssid=Universite de Lorraine, signal=44, données GPS=48.669035,6.154918]
Trace [timestamp=1438174365, ssid=Universite de Lorraine, signal=44, données GPS=48.669035,6.154918]
Trace [timestamp=1438174365, ssid=Universite de Lorraine, signal=44, données GPS=48.669035,6.154918]
Trace [timestamp=1438174365, ssid=Universite de Lorraine, signal=26, données GPS=48.669035,6.154918]
Trace [timestamp=1438174365, ssid=Universite de Lorraine, signal=56, données GPS=48.669035,6.154918]
Trace [timestamp=1438174365, ssid=Universite de Lorraine, signal=28, données GPS=48.669035,6.154918]
Trace [timestamp=1438174365, ssid=Universite de Lorraine, signal=28, données GPS=48.669035,6.154918]
Trace [timestamp=1438174365, ssid=Universite de Lorraine, signal=23, données GPS=48.669035,6.154918]
Trace [timestamp=1438174365, ssid=Universite de Lorraine, signal=7, données GPS=48.669035,6.154918]
Trace [timestamp=1438174365, ssid=Universite de Lorraine, signal=42, données GPS=48.669035,6.154918]
Trace [timestamp=1438174367, ssid=Universite de Lorraine, signal=10, données GPS=48.669035,6.154923]
Trace [timestamp=1438174367, ssid=Universite de Lorraine, signal=44, données GPS=48.669035,6.154923]
Trace [timestamp=1438174367, ssid=Universite de Lorraine, signal=44, données GPS=48.669035,6.154923]
Trace [timestamp=1438174367, ssid=Universite de Lorraine, signal=44, données GPS=48.669035,6.154923]
Trace [timestamp=1438174367, ssid=Universite de Lorraine, signal=26, données GPS=48.669035,6.154923]
Trace [timestamp=1438174367, ssid=Universite de Lorraine, signal=59, données GPS=48.669035,6.154923]
Trace [timestamp=1438174367, ssid=Universite de Lorraine, signal=28, données GPS=48.669035,6.154923]
Trace [timestamp=1438174367, ssid=Universite de Lorraine, signal=25, données GPS=48.669035,6.154923]
Trace [timestamp=1438174367, ssid=Universite de Lorraine, signal=10, données GPS=48.669035,6.154923]
Trace [timestamp=1438174367, ssid=Universite de Lorraine, signal=7, données GPS=48.669035,6.154923]
Trace [timestamp=1438174367, ssid=Universite de Lorraine, signal=42, données GPS=48.669035,6.154923]
Trace [timestamp=1438174368, ssid=Universite de Lorraine, signal=25, données GPS=48.669035,6.154927]
Trace [timestamp=1438174368, ssid=Universite de Lorraine, signal=44, données GPS=48.669035,6.154927]
Trace [timestamp=1438174368, ssid=Universite de Lorraine, signal=43, données GPS=48.669035,6.154927]
Trace [timestamp=1438174368, ssid=Universite de Lorraine, signal=44, données GPS=48.669035,6.154927]
Trace [timestamp=1438174368, ssid=Universite de Lorraine, signal=26, données GPS=48.669035,6.154927]
Trace [timestamp=1438174368, ssid=Universite de Lorraine, signal=58, données GPS=48.669035,6.154927]
Trace [timestamp=1438174368, ssid=Universite de Lorraine, signal=28, données GPS=48.669035,6.154927]
Trace [timestamp=1438174368, ssid=Universite de Lorraine, signal=26, données GPS=48.669035,6.154927]
Trace [timestamp=1438174368, ssid=Universite de Lorraine, signal=10, données GPS=48.669035,6.154927]
Trace [timestamp=1438174368, ssid=Universite de Lorraine, signal=7, données GPS=48.669035,6.154927]
Trace [timestamp=1438174368, ssid=Universite de Lorraine, signal=42, données GPS=48.669035,6.154927]
Trace [timestamp=1438174370, ssid=Universite de Lorraine, signal=10, données GPS=48.669033,6.154932]
Trace [timestamp=1438174370, ssid=Universite de Lorraine, signal=44, données GPS=48.669033,6.154932]
Trace [timestamp=1438174370, ssid=Universite de Lorraine, signal=44, données GPS=48.669033,6.154932]
Trace [timestamp=1438174370, ssid=Universite de Lorraine, signal=43, données GPS=48.669033,6.154932]
Trace [timestamp=1438174370, ssid=Universite de Lorraine, signal=26, données GPS=48.669033,6.154932]
Trace [timestamp=1438174370, ssid=Universite de Lorraine, signal=57, données GPS=48.669033,6.154932]
Trace [timestamp=1438174370, ssid=Universite de Lorraine, signal=28, données GPS=48.669033,6.154932]
Trace [timestamp=1438174370, ssid=Universite de Lorraine, signal=25, données GPS=48.669033,6.154932]
Trace [timestamp=1438174370, ssid=Universite de Lorraine, signal=10, données GPS=48.669033,6.154932]
Trace [timestamp=1438174370, ssid=Universite de Lorraine, signal=7, données GPS=48.669033,6.154932]
Trace [timestamp=1438174370, ssid=Universite de Lorraine, signal=42, données GPS=48.669033,6.154932]
Trace [timestamp=1438174370, ssid=Universite de Lorraine, signal=7, données GPS=48.669033,6.154932]
Trace [timestamp=1438174372, ssid=Universite de Lorraine, signal=10, données GPS=48.66903,6.154932]
Trace [timestamp=1438174372, ssid=Universite de Lorraine, signal=44, données GPS=48.66903,6.154932]
Trace [timestamp=1438174372, ssid=Universite de Lorraine, signal=43, données GPS=48.66903,6.154932]
Trace [timestamp=1438174372, ssid=Universite de Lorraine, signal=42, données GPS=48.66903,6.154932]
Trace [timestamp=1438174372, ssid=Universite de Lorraine, signal=26, données GPS=48.66903,6.154932]
Trace [timestamp=1438174372, ssid=Universite de Lorraine, signal=57, données GPS=48.66903,6.154932]
Trace [timestamp=1438174372, ssid=Universite de Lorraine, signal=28, données GPS=48.66903,6.154932]
Trace [timestamp=1438174372, ssid=Universite de Lorraine, signal=10, données GPS=48.66903,6.154932]
Trace [timestamp=1438174372, ssid=Universite de Lorraine, signal=10, données GPS=48.66903,6.154932]
Trace [timestamp=1438174372, ssid=Universite de Lorraine, signal=7, données GPS=48.66903,6.154932]
Trace [timestamp=1438174372, ssid=Universite de Lorraine, signal=42, données GPS=48.66903,6.154932]
Trace [timestamp=1438174372, ssid=Universite de Lorraine, signal=7, données GPS=48.66903,6.154932]
Trace [timestamp=1438174373, ssid=Universite de Lorraine, signal=22, données GPS=48.669028,6.154933]
Trace [timestamp=1438174373, ssid=Universite de Lorraine, signal=44, données GPS=48.669028,6.154933]
Trace [timestamp=1438174373, ssid=Universite de Lorraine, signal=42, données GPS=48.669028,6.154933]
Trace [timestamp=1438174373, ssid=Universite de Lorraine, signal=42, données GPS=48.669028,6.154933]
Trace [timestamp=1438174373, ssid=Universite de Lorraine, signal=28, données GPS=48.669028,6.154933]
Trace [timestamp=1438174373, ssid=Universite de Lorraine, signal=56, données GPS=48.669028,6.154933]
Trace [timestamp=1438174373, ssid=Universite de Lorraine, signal=28, données GPS=48.669028,6.154933]
Trace [timestamp=1438174373, ssid=Universite de Lorraine, signal=25, données GPS=48.669028,6.154933]
Trace [timestamp=1438174373, ssid=Universite de Lorraine, signal=10, données GPS=48.669028,6.154933]
Trace [timestamp=1438174373, ssid=Universite de Lorraine, signal=7, données GPS=48.669028,6.154933]
Trace [timestamp=1438174373, ssid=Universite de Lorraine, signal=42, données GPS=48.669028,6.154933]
Trace [timestamp=1438174373, ssid=Universite de Lorraine, signal=7, données GPS=48.669028,6.154933]
Trace [timestamp=1438174375, ssid=Universite de Lorraine, signal=23, données GPS=48.669025,6.15493]
Trace [timestamp=1438174375, ssid=Universite de Lorraine, signal=44, données GPS=48.669025,6.15493]
